Name,Marketcap,Date,RevenueY,RevenueQ,NetProfitY,NetProfitQ,EPS
NTPC Ltd,329541.2,25-Jan-25,4.8%,2.5%,3.1%,1.4%,
Oil & Natural Gas Corpn Ltd,325514.72,31-Jan-25,,,,,
Pidilite Industries Ltd,149068.9,22-Jan-25,7.6%,4.1%,9.3%,3.6%,
Power Finance Corporation Ltd,153322.73,,,,,,
Power Grid Corporation of India Ltd,294038.59,03-Feb-25,,,,,
Punjab National Bank,122342.38,31-Jan-25,,,,,
REC Ltd,141667.45,,,,,,
Reliance Industries Ltd,1693373.02,16-Jan-25,7.0%,3.6%,7.4%,11.9%,
Samvardhana Motherson International Ltd,112615.9,,,,,,
SBI Life Insurance Company Ltd,144897.06,17-Jan-25,11.3%,22.5%,71.2%,4.0%,
Shree Cement Ltd,94207.19,30-Jan-25,,,,,
Shriram Finance Ltd,114605.79,24-Jan-25,19.9%,6.0%,96.3%,72.3%,
Siemens Ltd,235377.85,12-Feb-25,,,,,
State Bank of India,708168.6,06-Feb-25,,,,,
Sun Pharmaceuticals Industries Ltd,443661.03,31-Jan-25,,,,,
Tata Consultancy Services Ltd,1483144.53,09-Jan-25,5.6%,-0.4%,12.1%,4.1%,
Tata Consumer Products Ltd,92850.8,30-Jan-25,,,,,
Tata Motors Ltd,290956.11,29-Jan-25,2.8%,12.2%,-21.9%,38.1%,
Tata Power Company Ltd,126743.14,04-Feb-25,,,,,
Tata Steel Ltd,172647.18,27-Jan-25,-2.7%,-0.5%,-36.5%,-60.9%,
Tech Mahindra Ltd,165405.23,17-Jan-25,1.4%,-0.2%,92.6%,-21.4%,
Titan Company Ltd,306215.2,4-Feb-25,,,,,
Torrent Pharmaceuticals Ltd,115066.28,24-Jan-25,2.8%,-2.8%,13.5%,11.0,
Trent Ltd,259740.47,06-Feb-25,,,,,
TVS Motor Company Ltd,117934.07,28-Jan-25,10.1%,-1.5%,19.6%,-3.6%,
UltraTech Cement Ltd,340404.8,23-Jan-25,2.7%,10.0%,-17.0%,78.5%,
Union Bank of India,94694.88,28-Jan-25,0.8%,0.8%,27.3%,2.6%,
United Spirits Ltd,122369.51,23-Jan-25,11.1%,15.9%,-4.3%,-1.8%,
Varun Beverages Ltd,220575.9,,,,,,
Vedanta Ltd,179056.67,,,,,,
Wipro Ltd,308266.62,17-Jan-25,0.5%,0.1%,24.5%,4.50%,
Zomato Ltd,263165.06,20-Jan-25,64.4%,12.6%,-57.2%,-66.5%,
Zydus Lifesciences Ltd,98163.16,05-Feb-25,,,,,
